               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.032462,            0.010924,            0.021544,             0.84911,             0.87046,             0.90155,              0.7084,            0.019487,           0.0037222,            0.010828,            0.006733,            0.006733,            0.006733
                  35,            0.031539,            0.010318,            0.019981,             0.80525,             0.89369,             0.89751,             0.67958,            0.019762,           0.0036981,            0.012318,            0.006634,            0.006634,            0.006634
                  36,            0.031404,            0.010646,            0.022357,             0.80864,             0.94266,              0.9077,             0.70505,             0.01898,           0.0036534,            0.010914,            0.006535,            0.006535,            0.006535
                  37,            0.029705,            0.010592,            0.019513,             0.82546,             0.88093,             0.90452,             0.68776,            0.018347,           0.0040274,            0.011052,            0.006436,            0.006436,            0.006436
                  38,            0.030166,            0.010879,            0.020324,             0.72661,             0.79077,             0.84646,             0.66533,            0.019049,           0.0034431,            0.017828,            0.006337,            0.006337,            0.006337
                  39,            0.029586,            0.010427,            0.019621,             0.83987,             0.89602,             0.90715,             0.69212,            0.020175,           0.0035286,           0.0098132,            0.006238,            0.006238,            0.006238
                  40,            0.029063,            0.010054,             0.01887,             0.86127,             0.89361,             0.90993,             0.74422,            0.018909,           0.0033396,           0.0083964,            0.006139,            0.006139,            0.006139
                  41,            0.027886,            0.010425,            0.018635,             0.79452,             0.89938,              0.8824,             0.68546,            0.019563,           0.0040475,            0.011137,             0.00604,             0.00604,             0.00604
                  42,            0.030233,            0.009963,            0.017979,             0.81934,              0.9623,             0.92123,             0.73833,            0.019479,           0.0034581,           0.0084135,            0.005941,            0.005941,            0.005941
                  43,            0.029618,           0.0099636,            0.017147,             0.88796,             0.91255,             0.93309,             0.71594,            0.021492,            0.003694,           0.0081441,            0.005842,            0.005842,            0.005842
                  44,            0.029551,            0.010307,            0.018897,             0.77046,             0.78397,             0.81308,             0.64106,            0.019151,           0.0040417,            0.014534,            0.005743,            0.005743,            0.005743
                  45,            0.029329,            0.010074,             0.01995,             0.90258,             0.88382,             0.92234,             0.74388,            0.021805,           0.0038072,           0.0089429,            0.005644,            0.005644,            0.005644
                  46,            0.028424,           0.0097755,            0.018286,             0.88746,             0.89783,             0.93503,             0.76215,            0.017063,           0.0033117,           0.0092113,            0.005545,            0.005545,            0.005545
                  47,            0.028508,            0.010034,             0.01802,             0.89593,             0.87876,             0.91965,             0.74144,            0.018306,           0.0034462,           0.0078855,            0.005446,            0.005446,            0.005446
                  48,            0.027998,           0.0097112,            0.016973,             0.83717,             0.93096,             0.93618,             0.73298,            0.017346,           0.0031602,           0.0067266,            0.005347,            0.005347,            0.005347
                  49,            0.027373,           0.0095843,            0.017415,             0.90626,             0.95517,             0.95457,             0.78846,             0.01707,           0.0031651,           0.0066821,            0.005248,            0.005248,            0.005248
                  50,            0.027497,            0.009895,            0.017494,              0.9568,             0.94467,             0.96722,             0.80399,            0.014977,           0.0032885,           0.0050501,            0.005149,            0.005149,            0.005149
                  51,            0.026656,           0.0096948,            0.017087,             0.90486,             0.93033,             0.94959,             0.73542,            0.017634,           0.0033629,            0.007399,             0.00505,             0.00505,             0.00505
                  52,            0.027976,            0.010004,            0.017848,             0.88158,             0.95597,             0.94634,              0.7813,            0.014658,            0.003338,           0.0060841,            0.004951,            0.004951,            0.004951
                  53,            0.027159,           0.0093605,             0.01701,             0.79759,              0.8875,             0.91195,             0.75484,            0.014496,           0.0030627,            0.010579,            0.004852,            0.004852,            0.004852
                  54,            0.026221,           0.0097532,            0.014634,             0.90385,             0.87702,             0.93142,             0.78693,            0.015571,           0.0029776,           0.0066632,            0.004753,            0.004753,            0.004753
                  55,            0.025015,           0.0093532,            0.014346,             0.88083,             0.92823,             0.95185,             0.81089,            0.015884,           0.0030133,           0.0071868,            0.004654,            0.004654,            0.004654
                  56,            0.025574,           0.0098206,            0.014818,             0.96771,             0.95192,             0.97253,             0.82023,            0.014428,           0.0030394,           0.0039255,            0.004555,            0.004555,            0.004555
                  57,            0.025092,           0.0094479,            0.014174,             0.92317,             0.94279,             0.95793,             0.81383,             0.01502,           0.0028581,            0.006683,            0.004456,            0.004456,            0.004456
                  58,            0.024757,           0.0092236,            0.013169,             0.88773,             0.96836,             0.96233,             0.81128,            0.013395,           0.0030478,           0.0045296,            0.004357,            0.004357,            0.004357
                  59,            0.025612,           0.0090721,            0.014624,             0.91594,             0.94654,             0.95931,             0.80024,            0.014273,           0.0029708,           0.0044147,            0.004258,            0.004258,            0.004258
                  60,            0.024885,            0.009025,             0.01405,             0.91412,             0.96264,             0.96896,             0.82819,            0.015208,           0.0029693,           0.0046219,            0.004159,            0.004159,            0.004159
                  61,            0.025132,           0.0089094,            0.012671,             0.90355,             0.93967,             0.95302,             0.81367,            0.014244,           0.0028919,           0.0086767,             0.00406,             0.00406,             0.00406
                  62,            0.023831,           0.0089242,            0.014515,             0.87801,             0.95341,             0.96718,             0.82125,            0.013799,           0.0030122,           0.0058775,            0.003961,            0.003961,            0.003961
                  63,            0.023939,            0.008874,            0.013199,             0.93516,             0.92567,             0.95394,             0.81807,            0.015083,           0.0029057,           0.0061906,            0.003862,            0.003862,            0.003862
                  64,            0.025226,           0.0089831,            0.013452,             0.85867,             0.91474,             0.94389,             0.81205,             0.01375,            0.002812,           0.0073115,            0.003763,            0.003763,            0.003763
                  65,             0.02401,            0.009273,            0.014443,             0.94924,              0.9226,              0.9634,             0.82275,            0.014278,           0.0028537,           0.0045001,            0.003664,            0.003664,            0.003664
                  66,            0.024453,           0.0087973,            0.013796,              0.9068,             0.95462,             0.95783,             0.82156,            0.013175,           0.0029267,            0.005001,            0.003565,            0.003565,            0.003565
                  67,            0.023557,           0.0087844,            0.012813,             0.97089,             0.93487,               0.967,             0.83072,            0.013986,           0.0027701,            0.003502,            0.003466,            0.003466,            0.003466
                  68,             0.02428,           0.0086451,            0.011961,             0.94332,             0.93767,             0.96157,             0.83417,            0.014152,           0.0028576,           0.0074117,            0.003367,            0.003367,            0.003367
                  69,            0.023308,           0.0088415,            0.012058,             0.94802,             0.96317,             0.97406,             0.83929,            0.012791,            0.003039,           0.0045235,            0.003268,            0.003268,            0.003268
                  70,            0.023891,           0.0084507,            0.013768,             0.89463,             0.94142,             0.95563,             0.80946,            0.012689,            0.002692,           0.0056229,            0.003169,            0.003169,            0.003169
                  71,            0.023342,           0.0084111,            0.013771,             0.85815,             0.92058,              0.9049,             0.78698,            0.013799,           0.0027104,            0.010168,             0.00307,             0.00307,             0.00307
                  72,            0.022867,           0.0088628,            0.012248,             0.88587,             0.95354,             0.96025,             0.84293,            0.012901,           0.0028457,           0.0057398,            0.002971,            0.002971,            0.002971
                  73,            0.023459,           0.0084254,            0.012272,             0.95584,             0.95253,             0.98652,             0.85373,            0.012141,           0.0027498,            0.004315,            0.002872,            0.002872,            0.002872
                  74,             0.02231,           0.0085353,            0.012193,             0.93758,             0.97308,             0.97943,             0.85094,            0.011764,           0.0026017,           0.0031609,            0.002773,            0.002773,            0.002773
                  75,            0.022962,           0.0085096,            0.012065,             0.96567,             0.95555,             0.97594,             0.86599,            0.010139,           0.0025744,           0.0030664,            0.002674,            0.002674,            0.002674
                  76,            0.023054,           0.0084773,            0.011501,             0.93867,             0.96867,             0.98136,             0.86888,            0.012723,            0.002731,           0.0032328,            0.002575,            0.002575,            0.002575
                  77,            0.022814,           0.0084932,            0.011833,             0.95452,             0.95861,              0.9767,             0.86298,             0.01177,           0.0025568,            0.002601,            0.002476,            0.002476,            0.002476
                  78,            0.022005,           0.0085576,            0.011703,             0.91465,             0.95913,             0.97242,             0.85761,             0.01163,           0.0026289,           0.0028829,            0.002377,            0.002377,            0.002377
                  79,            0.021707,           0.0082931,            0.012093,             0.94695,             0.93698,             0.96646,             0.82622,            0.013145,           0.0027931,           0.0031543,            0.002278,            0.002278,            0.002278
                  80,            0.021723,           0.0081444,            0.010899,             0.96627,              0.9601,             0.98057,             0.87068,            0.012199,           0.0026197,           0.0058967,            0.002179,            0.002179,            0.002179
                  81,            0.021893,           0.0081917,            0.012506,             0.96804,             0.96861,             0.97905,             0.87753,            0.012011,           0.0024467,           0.0023935,             0.00208,             0.00208,             0.00208
                  82,            0.021665,           0.0084088,            0.011695,             0.88271,             0.95134,             0.95737,             0.84847,            0.012032,           0.0025641,           0.0066549,            0.001981,            0.001981,            0.001981
                  83,            0.021688,           0.0082759,             0.01076,             0.94158,             0.95397,             0.96936,             0.86921,            0.013275,           0.0025689,           0.0038553,            0.001882,            0.001882,            0.001882
                  84,            0.021783,           0.0082684,            0.010866,             0.94612,             0.93605,             0.97375,             0.86694,           0.0099861,           0.0024465,            0.003251,            0.001783,            0.001783,            0.001783
                  85,            0.020594,            0.007987,            0.010748,             0.92652,             0.96629,             0.97136,             0.86707,            0.010895,           0.0025946,           0.0050946,            0.001684,            0.001684,            0.001684
                  86,            0.020823,           0.0080375,            0.010894,             0.93015,             0.96737,             0.97368,             0.87163,            0.010952,           0.0024957,           0.0040363,            0.001585,            0.001585,            0.001585
                  87,            0.020323,           0.0079052,            0.009466,               0.974,             0.97484,             0.98656,              0.8808,            0.010035,           0.0024886,           0.0021293,            0.001486,            0.001486,            0.001486
                  88,            0.019432,           0.0081135,           0.0097239,             0.96503,             0.98437,             0.98692,             0.87598,             0.01042,           0.0024683,           0.0027214,            0.001387,            0.001387,            0.001387
                  89,             0.01992,           0.0079618,            0.010205,             0.97727,             0.95478,             0.98096,             0.88512,            0.010098,           0.0023699,           0.0025475,            0.001288,            0.001288,            0.001288
                  90,            0.021358,           0.0077846,           0.0098299,             0.97128,             0.97604,             0.98679,             0.89978,            0.010858,           0.0024116,           0.0019256,            0.001189,            0.001189,            0.001189
                  91,            0.020831,           0.0076716,            0.010495,             0.92964,              0.9704,             0.97395,             0.88851,           0.0098246,           0.0024322,           0.0037638,             0.00109,             0.00109,             0.00109
                  92,             0.01904,           0.0077617,           0.0084044,             0.96699,             0.96935,             0.98321,             0.89414,            0.009249,            0.002398,           0.0023476,            0.000991,            0.000991,            0.000991
                  93,            0.019641,           0.0077612,           0.0089782,             0.97019,             0.94997,             0.97872,             0.88981,           0.0097204,           0.0024136,           0.0024841,            0.000892,            0.000892,            0.000892
                  94,            0.019943,           0.0076743,           0.0091273,             0.97977,             0.97532,             0.98981,             0.89862,           0.0098376,           0.0024112,           0.0013196,            0.000793,            0.000793,            0.000793
                  95,            0.019746,           0.0078803,           0.0096081,             0.94247,             0.97335,              0.9782,             0.88089,            0.010095,           0.0023364,           0.0040035,            0.000694,            0.000694,            0.000694
                  96,            0.018508,           0.0077194,           0.0085577,             0.96299,             0.98154,             0.98815,             0.90302,           0.0097667,           0.0023819,           0.0029157,            0.000595,            0.000595,            0.000595
                  97,            0.019813,           0.0078233,           0.0092627,              0.9787,             0.98442,             0.98749,             0.89931,           0.0098766,           0.0023451,           0.0017334,            0.000496,            0.000496,            0.000496
                  98,            0.018923,           0.0076682,           0.0086739,              0.9689,             0.97328,             0.98226,             0.89668,           0.0090709,           0.0023062,           0.0025201,            0.000397,            0.000397,            0.000397
                  99,            0.018501,            0.007425,           0.0083557,             0.97733,             0.97817,             0.98878,             0.90557,           0.0094369,           0.0022854,           0.0018115,            0.000298,            0.000298,            0.000298
